ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
2,Dangal TV,Entertainment,Hindi,ok,Plays everywhere tested,ok,719,,frame,96,206,2.5,ok,7722,,frame,237,1419,2.5,ok,9097,,frame,249,3341,2.5,ok,10706,,frame,501,10404,2.5,live-dangal.akamaized.net,4,512,451,6.0,https://live-dangal.akamaized.net/liveabr/playlist.m3u8
3,Dangal 2,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,533,,frame,100,254,2.5,ok,7264,,frame,242,1436,2.5,ok,9123,,frame,239,3312,2.5,error,,timeout_frame,segment,518,,,live-dangal2.akamaized.net,4,512,456,6.0,https://live-dangal2.akamaized.net/liveabr/playlist.m3u8
5,Zee Comedy Nation,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1303,,frame,296,785,2.5,ok,2104,,frame,420,2054,2.4,ok,7465,,frame,272,3690,2.4,error,,timeout_frame,segment,496,,,amg00862-amg00862c5-amgplt0173.playout.now3.amagi.tv,5,710,476,5.7,https://amg00862-amg00862c5-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c5-amgplt0173/playlist.m3u8
6,Zee Dil Se,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1763,,frame,246,831,2.5,ok,1770,,frame,235,1663,2.5,ok,7771,,frame,237,3824,2.5,error,,timeout_frame,segment,508,,,amg00862-amg00862c6-amgplt0173.playout.now3.amagi.tv,5,710,513,5.7,https://amg00862-amg00862c6-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c6-amgplt0173/playlist.m3u8
7,Zee Horror Nights,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1246,,frame,215,650,2.5,ok,1845,,frame,234,1801,2.4,ok,5683,,frame,242,2933,2.4,error,,timeout_frame,segment,521,,,amg00862-amg00862c7-amgplt0173.playout.now3.amagi.tv,5,710,478,6.0,https://amg00862-amg00862c7-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c7-amgplt0173/playlist.m3u8
8,Zee Cine Classic,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1648,,frame,240,787,2.5,ok,6480,,frame,282,1854,2,ok,8008,,frame,239,3880,2.5,error,,timeout_frame,segment,506,,,amg00862-amg00862c8-amgplt0173.playout.now3.amagi.tv,5,710,499,6.0,https://amg00862-amg00862c8-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c8-amgplt0173/playlist.m3u8
9,Zee South Flix,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,1238,,frame,237,698,2.5,ok,6139,,,,,2.4,ok,7646,,frame,227,3754,2.5,error,,timeout_frame,segment,483,,,amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv,5,710,446,5.9,https://amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c9-amgplt0173/playlist.m3u8
11,Shubh Cinema,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,518,,frame,115,267,2.5,ok,957,,frame,165,876,2.5,ok,2081,,frame,270,2005,2.5,error,,timeout_frame,decoding,492,5526,,d393sxaxig6bax.cloudfront.net,2,436,990,6.0,https://d393sxaxig6bax.cloudfront.net/out/v1/589cf2cf44bf42bb941e817a2240d62e/index.m3u8
17,Shemaroo Josh,Entertainment,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,660,,frame,129,555,2.5,error,,timeout_frame,segment,201,,,error,,timeout_frame,segment,276,,,error,,timeout_frame,segment,468,,,airtelapp.shemaroo.com,1,1628,6464,10.0,https://airtelapp.shemaroo.com/shemarooChumbakTV/smil:shemarooChumbakTVadp.smil/playlist.m3u8
18,Desi Channel,Entertainment,Hindi,heavy,Plays on fast links only (fails on 3g),ok,2355,,frame,761,2267,2.4,ok,12399,,frame,736,6126,2.5,error,,timeout_frame,segment,687,,,error,,timeout_frame,segment,976,,,livestream.unlimitedcdn.com,1,4370,2312,5.0,https://livestream.unlimitedcdn.com/agm-dc/desi-channel/index.m3u8
20,Gangaur TV,Entertainment,Hindi,slow,Slow even on Wi-Fi (>4 s to first frame),ok,4530,,frame,552,2578,2.5,ok,2250,,frame,315,2198,2.5,ok,2554,,frame,325,2478,2.5,ok,6607,,frame,521,6559,2.5,pbgangaur.wiseplayout.com,5,314,2145,6.0,https://pbgangaur.wiseplayout.com/Gangaur/master.m3u8
24,Bhojpuri Cinema,Movies,Bhojpuri,heavy-2g,Fails only on 2g,ok,914,,frame,226,377,2.5,ok,1466,,frame,183,1361,2.5,ok,3347,,frame,241,3261,2.4,error,,timeout_frame,segment,516,,,live-bhojpuri.akamaized.net,4,512,413,6.0,https://live-bhojpuri.akamaized.net/liveabr/playlist.m3u8
25,ZB Cinema,Movies,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1175,,frame,277,1084,2.5,ok,12838,,frame,248,12330,2.5,error,,timeout_frame,segment,328,,,error,,timeout_frame,segment,594,,,server.zillarbarta.com,1,2840,2855,9.5,https://server.zillarbarta.com/ZBCINEMA/index.m3u8
26,Shemaroo Marathi Bana,Movies,Marathi,heavy,Plays on fast links only (fails on 3g),ok,472,,frame,99,336,2.5,ok,6876,,frame,141,6753,2.5,error,,timeout_frame,segment,218,,,error,,timeout_frame,segment,502,,,airtelapp.shemaroo.com,1,1628,3541,10.0,https://airtelapp.shemaroo.com/marathibana/smil:marathibanaadp.smil/playlist.m3u8
27,9XM,Music,Hindi,heavy-2g,Fails only on 2g,ok,7429,,frame,1231,4228,2.4,ok,3281,,frame,1154,3189,2.5,ok,3284,,frame,714,3224,2.5,error,,timeout_frame,segment,887,,,9xjio.wiseplayout.com,5,364,1467,6.0,https://9xjio.wiseplayout.com/9XM/master.m3u8
29,9X Jhakaas,Music,Hindi,ok,Plays everywhere tested,ok,2725,,frame,243,1332,2.5,ok,2230,,frame,243,2119,2.5,ok,4603,,frame,257,4552,2.5,ok,5896,,frame,495,5246,1.8,amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv,4,1021,213,1.9,https://amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv/playlist/amg01281-9xmediapvtltd-9xjhakaas-samsungin/playlist.m3u8
30,9X Tashan,Music,Hindi,heavy-2g,Fails only on 2g,ok,1424,,frame,319,790,2.5,ok,1465,,frame,265,1409,2.5,ok,4797,,frame,248,4701,2.5,error,,timeout_frame,segment,480,,,amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv,4,1021,741,6.0,https://amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv/playlist/amg01281-9xmediapvtltd-9xtashan-samsungin/playlist.m3u8
32,B4U Bhojpuri,Music,Bhojpuri,heavy-2g,Fails only on 2g,ok,2158,,frame,517,1241,2.5,ok,1806,,frame,548,1746,2.5,ok,3012,,frame,518,2920,2.5,error,,timeout_frame,decoding,640,14077,,cdnb4u.wiseplayout.com,5,364,1451,6.0,https://cdnb4u.wiseplayout.com/B4U_Bhojpuri/master.m3u8
34,PTC Music,Music,Punjabi,ok,Plays everywhere tested,ok,634,,frame,110,237,2.5,ok,922,,frame,145,865,2.5,ok,1982,,frame,224,1885,2.5,ok,5667,,frame,526,5618,2.4,d2lk5u59tns74c.cloudfront.net,5,291,,6.0,https://d2lk5u59tns74c.cloudfront.net/out/v1/f913cf893c594f73b114216e74a2efbc/index.m3u8
35,Pitaara,Music,Punjabi,heavy-2g,Fails only on 2g,ok,2185,,frame,454,1749,2.5,ok,3512,,frame,549,3454,2.5,ok,6363,,frame,450,6308,2.5,error,,timeout_frame,segment,560,,,vg-pitaaratvlive.akamaized.net,3,800,2009,6.0,https://vg-pitaaratvlive.akamaized.net/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/vglive-sk-583798/playlist.m3u8
37,Punjabi Hits,Music,Punjabi,heavy-2g,Fails only on 2g,ok,1229,,frame,155,437,2.5,ok,1485,,frame,226,1435,2.5,ok,3234,,frame,260,3188,2.5,error,,timeout_frame,segment,545,,,stream.ottlive.co.in,4,660,502,6.0,https://stream.ottlive.co.in/punjabihits/index.m3u8
38,ZB Music,Music,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1220,,frame,222,840,2.5,ok,7065,,frame,251,6316,1.9,error,,timeout_frame,segment,316,,,error,,timeout_frame,segment,580,,,server.zillarbarta.com,1,2820,2873,8.3,https://server.zillarbarta.com/zbmusic/index.m3u8
39,Steelbird Music,Music,Hindi,heavy,Plays on fast links only (fails on 3g),ok,629,,frame,226,561,2.5,ok,3893,,frame,235,3820,2.5,error,,timeout_frame,segment,268,,,error,,timeout_frame,segment,576,,,cdn2.in,0,,1656,6.0,https://cdn2.in/SteelbirdMusicTVhls/live.m3u8
40,Aaj Tak HD,News,Hindi,ok,Plays everywhere tested,ok,560,,frame,77,231,2.5,ok,895,,frame,177,800,2.5,ok,1768,,frame,260,1725,2.5,ok,4506,,frame,522,4453,2.5,feeds.intoday.in,12,200,184,6.0,https://feeds.intoday.in/aajtak/api/aajtakhd/master.m3u8
41,ABP News,News,Hindi,ok,Plays everywhere tested,ok,410,,frame,122,161,2.5,ok,885,,frame,167,808,2.5,ok,1808,,frame,230,1757,2.5,ok,4912,,frame,486,4841,2.5,d2l4ar6y3mrs4k.cloudfront.net,3,262,215,6.0,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/abpnews-livetv/master.m3u8
42,Zee News,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,353,,frame,134,260,2.5,ok,2481,,frame,216,2333,1.6,error,,timeout_frame,segment,241,,,error,,timeout_frame,segment,492,,,dknttpxmr0dwf.cloudfront.net,0,,2951,6.0,https://dknttpxmr0dwf.cloudfront.net/index_57.m3u8
43,India TV,News,Hindi,heavy-2g,Fails only on 2g,ok,763,,frame,181,357,2.5,ok,1661,,frame,164,1559,2.5,ok,3907,,frame,255,3849,2.5,error,,timeout_frame,segment,513,,,pl-indiatvnews.akamaized.net,2,599,2024,6.0,https://pl-indiatvnews.akamaized.net/out/v1/db79179b608641ceaa5a4d0dd0dca8da/index.m3u8
44,NDTV India,News,Hindi,heavy-2g,Fails only on 2g,ok,392,,frame,131,194,2.5,ok,1417,,frame,184,1342,2.5,ok,2979,,frame,232,2926,2.5,error,,timeout_frame,segment,501,,,ndtvindiaelemarchana.akamaized.net,3,966,467,4.0,https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/master.m3u8
45,Zee Bharat,News,Hindi,ok,Plays everywhere tested,ok,1144,,frame,324,723,2.5,ok,1343,,frame,365,1289,2.4,ok,2157,,frame,344,2061,2.5,ok,5210,,frame,515,5167,2.5,vg-zeefta.akamaized.net,4,364,217,4.0,https://vg-zeefta.akamaized.net/ptnr-yupptv/title-zeehindustan/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/96bbab12-582e-4540-af70-510ab6824581/main.m3u8
46,News 24,News,Hindi,heavy-2g,Fails only on 2g,ok,4766,,frame,1041,2859,2.5,ok,3238,,frame,1086,3173,2.5,ok,4051,,frame,1038,3949,2.5,error,,timeout_frame,segment,1019,,,vidcdn.vidgyor.com,3,409,307,6.0,https://vidcdn.vidgyor.com/news24-origin/liveabr/playlist.m3u8
47,Sudarshan News,News,Hindi,heavy-2g,Fails only on 2g,ok,670,,frame,297,607,2.5,ok,2551,,frame,242,2483,2.5,ok,6038,,frame,295,5958,2.5,error,,timeout_frame,segment,617,,,ott.livelegitpro.in,0,,763,5.0,https://ott.livelegitpro.in/sudarshannews/sudarshannews/tracks-v1/index.fmp4.m3u8
48,India Today,News,English,ok,Plays everywhere tested,ok,419,,frame,125,174,2.5,ok,769,,frame,159,729,2.5,ok,1548,,frame,265,1495,2.5,ok,4466,,frame,528,4394,2.5,indiatodaylive.akamaized.net,10,255,211,6.0,https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/playlist.m3u8
49,WION,News,English,heavy,Plays on fast links only (fails on 3g),ok,356,,frame,129,271,2.5,ok,5498,,frame,171,5392,2.5,error,,timeout_frame,segment,226,,,error,,timeout_frame,segment,475,,,d7x8z4yuq42qn.cloudfront.net,0,,2621,6.0,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
50,NDTV 24x7,News,English,heavy-2g,Fails only on 2g,ok,333,,frame,116,174,2.5,ok,1422,,frame,176,1302,2.5,ok,3107,,frame,226,3050,2.5,error,,timeout_frame,segment,519,,,ndtv24x7elemarchana.akamaized.net,3,966,455,4.0,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/master.m3u8
51,RT India,News,English,heavy-2g,Fails only on 2g,ok,7447,,frame,1417,4902,2.4,ok,5056,,frame,1864,4979,2.5,ok,6169,,frame,1440,6115,2.4,error,,timeout_frame,segment,2110,,,rt-india.rttv.com,4,1130,2773,5.0,https://rt-india.rttv.com/dvr/rtindia/playlist.m3u8
53,AmarUjala,News,Hindi,heavy-2g,Fails only on 2g,ok,1195,,frame,458,699,2.5,ok,1609,,frame,415,1454,2.5,ok,2827,,frame,568,2763,2.5,error,,timeout_frame,segment,1056,,,amarujala.ottlive.co.in,3,430,344,6.0,https://amarujala.ottlive.co.in/amarujala/index.m3u8
54,TOI Global,News,English,heavy-2g,Fails only on 2g,ok,3457,,frame,1443,2373,2.5,ok,2478,,frame,897,2428,2.5,ok,5502,,frame,1717,5437,2.5,error,,timeout_frame,segment,1466,,,live.sli.ke,3,966,1651,4.0,https://live.sli.ke/live/npnhm84gz9/master.m3u8
55,Zee Business,Business,Hindi,heavy,Plays on fast links only (fails on 3g),ok,407,,frame,106,234,2.5,ok,2667,,frame,195,2604,2.5,error,,timeout_frame,segment,244,,,error,,timeout_frame,segment,483,,,dwby15d04agvq.cloudfront.net,0,,1313,6.0,https://dwby15d04agvq.cloudfront.net/index_5.m3u8
56,ET Now Swadesh,Business,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,levelLoadError,playlist,943,,,error,,levelLoadError,playlist,894,,,error,,levelLoadError,playlist,859,,,error,,levelLoadError,playlist,1221,,,d32gxr3r1ksq2p.cloudfront.net,3,911,,,https://d32gxr3r1ksq2p.cloudfront.net/master.m3u8
57,Aastha,Devotional,Hindi,ok,Plays everywhere tested,ok,803,,frame,246,296,2.5,ok,1025,,frame,274,974,2.5,ok,2071,,frame,251,2004,2.5,ok,5570,,frame,485,5479,2.5,aasthaott.akamaized.net,5,464,236,4.0,https://aasthaott.akamaized.net/110923/smil:aasthatv.smil/index.m3u8
58,Aastha Bhajan,Devotional,Hindi,ok,Plays everywhere tested,ok,501,,frame,109,234,2.5,ok,962,,frame,368,904,2.5,ok,1491,,frame,250,1439,2.5,ok,3911,,frame,513,3849,2.5,aasthaott.akamaized.net,5,264,152,4.0,https://aasthaott.akamaized.net/110923/smil:bhajan.smil/playlist.m3u8
59,Channel Divya,Devotional,Punjabi,heavy-2g,Fails only on 2g,ok,669,,frame,168,341,2.5,ok,2479,,frame,263,2362,2.5,ok,5573,,frame,228,5503,2.5,error,,timeout_frame,segment,477,,,vg-pitaaratvlive.akamaized.net,4,800,3952,6.0,https://vg-pitaaratvlive.akamaized.net/v1/vglive-sk-906482/playlist.m3u8
60,Chardikla Gurbani,Devotional,Punjabi,heavy,Plays on fast links only (fails on 3g),ok,1648,,frame,497,1549,2.5,ok,4185,,frame,605,3859,2.5,error,,timeout_frame,segment,499,,,error,,timeout_frame,segment,713,,,chardikalatimestv.gigabitcdn.net,1,1710,1237,6.0,https://chardikalatimestv.gigabitcdn.net/in-chardikala/chardikala-gurbani-tv/playlist.m3u8
61,ZB Bhakti,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1271,,frame,314,867,2.5,ok,6865,,frame,276,6300,1.9,error,,timeout_frame,segment,342,,,error,,timeout_frame,segment,572,,,server.zillarbarta.com,1,2780,2841,8.3,https://server.zillarbarta.com/zbbhakti/index.m3u8
62,ABP Ganga,News,Hindi,ok,Plays everywhere tested,ok,1041,,frame,168,406,2.5,ok,792,,frame,120,749,2.5,ok,1773,,frame,228,1695,2.5,ok,4953,,frame,492,4847,2.5,d2l4ar6y3mrs4k.cloudfront.net,3,273,214,6.0,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/ganga-livetv/master.m3u8
63,ABP Asmita,News,Marathi,ok,Plays everywhere tested,ok,964,,frame,164,408,2.5,ok,764,,frame,217,722,2.5,ok,1390,,frame,237,1343,2.5,ok,3686,,frame,497,3638,2.5,d2l4ar6y3mrs4k.cloudfront.net,3,273,147,4.0,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/asmita-livetv/master.m3u8
64,Zee 24 Taas,News,Marathi,heavy-2g,Fails only on 2g,ok,361,,frame,118,297,2.5,ok,1364,,frame,156,1291,2.5,ok,4409,,frame,214,4314,2.4,error,,timeout_frame,segment,512,,,dgrvlduwztkd4.cloudfront.net,0,,,6.0,https://dgrvlduwztkd4.cloudfront.net/index_5.m3u8
65,NDTV Marathi,News,Marathi,heavy-2g,Fails only on 2g,ok,2017,,frame,466,1166,2.5,ok,1470,,frame,136,1389,2.5,ok,3204,,frame,253,3153,2.5,error,,timeout_frame,segment,532,,,web-ndtv-marathi.akamaized.net,6,32,52,6.0,https://web-ndtv-marathi.akamaized.net/hls/live/2110470/ndtvmarathi/master_1.m3u8
66,ZB Cartoon,Kids,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1874,,frame,190,1675,2.5,ok,5473,,frame,250,5355,2.5,error,,timeout_frame,segment,335,,,error,,timeout_frame,segment,581,,,server.zillarbarta.com,1,2780,2280,9.2,https://server.zillarbarta.com/zbcatun/video.m3u8
67,4TV News,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,799,,frame,170,464,2.5,ok,1251,,frame,178,894,2.5,no_outcome,,no_outcome_32000,,,,,ok,7479,,frame,429,5643,1.1,cdn-4.pishow.tv,2,691,1017,4.0,https://cdn-4.pishow.tv/live/1007/master.m3u8
68,7S Music,Music,Hindi,heavy-2g,Fails only on 2g,ok,699,,frame,288,643,2.5,ok,1918,,frame,217,1872,2.5,ok,4445,,frame,177,4374,2.5,error,,timeout_frame,segment,642,,,mumt03.tangotv.in,1,950,705,6.0,https://mumt03.tangotv.in/Dsly5z3H7SMUSIC/index.m3u8
69,Aaryaa TV,Music,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,877,,frame,150,757,2.4,error,,timeout_frame,segment,277,,,error,,timeout_frame,segment,282,,,error,,timeout_frame,segment,550,,,stream.ottlive.co.in,1,5550,3563,5.9,https://stream.ottlive.co.in/aryatvtamil/index.m3u8
70,Aaseervatham TV,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,625,,frame,229,550,2.5,ok,1944,,frame,290,1872,2.5,ok,2847,,frame,350,2796,2.5,error,,timeout_frame,segment,633,,,mumt04.tangotv.in,1,900,720,6.0,https://mumt04.tangotv.in/m18aqlK4AASEERVATHAMTV/index.m3u8
71,Aastha Bhajan,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,1353,,frame,454,1304,2.4,ok,2071,,frame,253,1952,2.5,ok,4545,,frame,319,4474,2.5,error,,timeout_frame,segment,635,,,mumt05.tangotv.in,1,1000,723,6.0,https://mumt05.tangotv.in/87NeALx2AASTHABHAJAN/index.m3u8
72,Aastha Prime 1,Devotional,Hindi,ok,Plays everywhere tested,ok,768,,frame,87,460,2.5,ok,744,,frame,153,688,2.5,ok,1651,,frame,250,1560,2.5,ok,3832,,frame,508,3769,2.5,aasthaott.akamaized.net,5,264,152,4.0,https://aasthaott.akamaized.net/110923/smil:aasthaprime1.smil/master.m3u8
73,ABP News,News,Hindi,heavy-2g,Fails only on 2g,ok,2375,,frame,527,1604,2.5,ok,1916,,frame,311,1799,2.5,ok,3954,,frame,567,3893,2.5,error,,timeout_frame,segment,759,,,d1rc86nwwc9fag.cloudfront.net,3,691,543,6.0,https://d1rc86nwwc9fag.cloudfront.net/vglive-sk-472500/abpnews/master.m3u8
75,Alankar TV,Movies,Hindi,ok,Plays everywhere tested,ok,664,,frame,165,326,2.5,ok,1075,,frame,185,1019,2.4,ok,2157,,frame,248,2110,2.5,ok,4998,,frame,482,4949,2.5,livetv.tarangplus.in,3,403,301,6.0,https://livetv.tarangplus.in/alankar-origin/live/playlist.m3u8
76,Anand TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1434,,frame,261,1165,2.5,ok,10843,,frame,263,10735,2.5,error,,timeout_frame,segment,290,,,error,,timeout_frame,segment,629,,,live.legitpro.co.in,1,2800,2112,6.0,https://live.legitpro.co.in/anandtv/index.m3u8
77,Ananda Barta,News,Hindi,heavy-2g,Fails only on 2g,ok,798,,frame,220,557,2.5,ok,4390,,frame,254,2352,2.4,ok,5636,,frame,311,5563,2.5,error,,timeout_frame,segment,519,,,account19.livebox.co.in,0,,881,6.0,https://account19.livebox.co.in/Anandabarta2hls/live.m3u8
78,Andy Haryana,Culture,Hindi,heavy-2g,Fails only on 2g,ok,1985,,frame,819,1904,2.5,ok,1955,,frame,217,1898,2.5,ok,4627,,frame,357,4563,2.4,error,,timeout_frame,segment,616,,,mumt03.tangotv.in,1,900,720,6.0,https://mumt03.tangotv.in/Dsly5z3HANDYHARYANA/index.m3u8
79,Angel TV,Devotional,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,timeout_frame,decoding,421,12553,,error,,timeout_frame,segment,1331,,,error,,timeout_frame,segment,234,,,error,,timeout_frame,segment,525,,,janya-digimix.akamaized.net,5,435,3920,9.6,https://janya-digimix.akamaized.net/vglive-sk-394914/india/ngrp:angelindia_all/playlist.m3u8
80,Apna Punjab TV,Entertainment,Punjabi,heavy,Plays on fast links only (fails on 3g),ok,3241,,frame,879,3167,2.5,ok,4805,,frame,943,4700,2.5,error,,timeout_frame,segment,974,,,error,,timeout_frame,segment,1029,,,plus.gigabitcdn.net,1,1950,1290,6.0,https://plus.gigabitcdn.net/live-stream/apna-punjab-H3sE/playlist.m3u8
81,Aradana TV,Devotional,Hindi,ok,Plays everywhere tested,ok,1879,,frame,259,768,2.5,ok,1726,,frame,267,1232,2.5,ok,2889,,frame,395,2161,2.5,ok,7562,,frame,635,5862,2.5,cdn-1.pishow.tv,2,691,1012,4.0,https://cdn-1.pishow.tv/live/961/master.m3u8
82,Arputhar Yesu TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1250,,frame,356,1190,2.5,ok,4176,,frame,317,4100,2.5,error,,timeout_frame,segment,428,,,error,,timeout_frame,segment,622,,,arputharyesutv.arputharyesutv.com,1,1930,1677,6.0,https://arputharyesutv.arputharyesutv.com/live/md/index.m3u8
83,Aryan TV National,Undefined,Hindi,heavy-2g,Fails only on 2g,ok,358,,frame,45,304,2.4,ok,1912,,frame,239,1853,2.5,ok,4655,,frame,309,4581,2.4,error,,timeout_frame,segment,572,,,mumt04.tangotv.in,1,970,720,6.0,https://mumt04.tangotv.in/m18aqlK4ARYANTVNATIONAL/index.m3u8
84,B4U Music,Music,Hindi,ok,Plays everywhere tested,ok,1517,,frame,225,766,2.5,ok,1593,,frame,299,1181,2.4,ok,2702,,frame,286,1924,2.5,ok,7498,,frame,589,5787,2.4,cdn-2.pishow.tv,2,691,999,4.0,https://cdn-2.pishow.tv/live/415/master.m3u8
85,Bansal News,News,Hindi,heavy-2g,Fails only on 2g,ok,2303,,frame,961,2241,2.5,ok,3737,,frame,918,3668,2.5,ok,6438,,frame,573,6380,2.5,error,,timeout_frame,segment,778,,,8yzmq2gbdvax-hls-live.wmncdn.net,1,1378,987,6.0,https://8yzmq2gbdvax-hls-live.wmncdn.net/bansalnewstv1/live1.stream/playlist.m3u8
86,Bharat Samachar,News,Hindi,heavy-2g,Fails only on 2g,ok,554,,frame,221,364,2.5,ok,1595,,frame,154,1519,2.4,ok,3340,,frame,227,3287,2.5,error,,timeout_frame,segment,516,,,idvd.multitvsolution.com,2,1060,397,4.0,https://idvd.multitvsolution.com/idvo/bharatsamachar.m3u8
87,Big TV 24x7,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,994,,frame,296,923,2.5,ok,4849,,frame,136,4750,2.5,error,,timeout_frame,segment,226,,,error,,timeout_frame,segment,490,,,d2gvyg6lvauoko.cloudfront.net,0,,2212,8.0,https://d2gvyg6lvauoko.cloudfront.net/230226/bigtvmalyalam/chunks.m3u8
89,BRK News,News,Hindi,ok,Plays everywhere tested,ok,1521,,frame,249,763,2.5,ok,1631,,frame,323,1237,2.5,ok,2882,,frame,373,2191,2.4,ok,7391,,frame,435,5638,2.5,cdn-1.pishow.tv,2,691,1016,4.0,https://cdn-1.pishow.tv/live/1037/master.m3u8
90,Channel WIN,Devotional,Hindi,ok,Plays everywhere tested,ok,1031,,frame,227,561,2.5,ok,1299,,frame,219,944,2.5,ok,2813,,frame,293,2048,2.5,ok,7436,,frame,545,5759,2.4,cdn-4.pishow.tv,2,691,970,4.0,https://cdn-4.pishow.tv/live/229/master.m3u8
91,Chardikla Time TV,News,Punjabi,heavy,Plays on fast links only (fails on 3g),ok,1811,,frame,601,1645,2.5,ok,5441,,frame,821,5297,2.5,error,,timeout_frame,segment,558,,,error,,timeout_frame,segment,741,,,chardikalagurbanitv.gigabitcdn.net,1,2910,1983,6.0,https://chardikalagurbanitv.gigabitcdn.net/in-chardikala/chardikala-timetv/playlist.m3u8
92,Chardikla Time TV North America,News,Punjabi,heavy,Plays on fast links only (fails on 3g),ok,1570,,frame,518,1458,2.5,ok,5163,,frame,490,5006,2.5,error,,timeout_frame,segment,511,,,error,,timeout_frame,segment,684,,,chardikalanorthamerica.gigabitcdn.net,1,2430,2053,6.0,https://chardikalanorthamerica.gigabitcdn.net/in-chardikala/chardikala-north-usa/playlist.m3u8
93,Cnews Bharat,News,Hindi,flaky,"Failed once on a fast link, played on the second attempt",error,,fragLoadError,decoding,183,1758,,ok,15632,,frame,241,5662,2.5,error,,fragLoadTimeOut,segment,293,,,error,,timeout_frame,segment,556,,,legitpro.co.in,1,4460,2505,5.0,https://legitpro.co.in/cnews/cnews/index.fmp4.m3u8
94,CTVN AKD Plus,News,Hindi,heavy-2g,Fails only on 2g,ok,995,,frame,235,484,2.5,ok,1408,,frame,257,1351,2.5,ok,3133,,frame,317,3080,2.4,error,,timeout_frame,segment,633,,,live.legitpro.co.in,4,510,153,6.2,https://live.legitpro.co.in/ctvnakdplus/index.m3u8
95,DD Bihar,DD,Hindi,ok,Plays everywhere tested,ok,1046,,frame,171,450,2.5,ok,1538,,frame,210,978,2.5,ok,2788,,frame,283,2036,2.5,ok,7365,,frame,452,5618,2.5,cdn-4.pishow.tv,2,691,933,4.0,https://cdn-4.pishow.tv/live/35/master.m3u8
96,DD Chhattisgarh,DD,Hindi,ok,Plays everywhere tested,ok,1787,,frame,321,915,2.5,ok,1480,,frame,253,1081,2.5,ok,2870,,frame,365,2142,2.5,ok,7494,,frame,587,5779,2.5,cdn-1.pishow.tv,2,691,1026,4.0,https://cdn-1.pishow.tv/live/15/master.m3u8
