ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
191,Salvation TV,Devotional,Hindi,heavy,Plays on fast links only (fails on 3g),ok,2246,,frame,548,1994,2.5,ok,12465,,frame,784,12322,2.1,error,,timeout_frame,segment,561,,,error,,timeout_frame,segment,826,,,ktismaservers.in:3902,0,,2351,4.0,https://ktismaservers.in:3902/live/salvationtvlive.m3u8
192,Sana Plus,Music,Hindi,flaky,"Failed on 4g (both attempts), played on Wi-Fi",ok,798,,frame,219,675,2.5,error,,timeout_frame,segment,196,,,error,,timeout_frame,segment,259,,,error,,manifestLoadError,connecting,,,,mumbai-edge.smartplaytv.in,1,4990,3924,7.4,https://mumbai-edge.smartplaytv.in/SanaPlusHD/index.m3u8
193,Sana TV,Entertainment,Hindi,heavy-2g,Fails only on 2g,ok,3122,,frame,1999,3026,2.4,ok,5588,,frame,371,5519,1.9,ok,7917,,frame,857,7762,1.3,error,,timeout_frame,segment,960,,,vglivessai.akamaized.net,1,5480,4063,5.9,https://vglivessai.akamaized.net/us/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/b6d9e864-ec16-410a-804d-ccf8f720bfaa/index.m3u8
194,Sangeet Marathi,Music,Marathi,ok,Plays everywhere tested,ok,895,,frame,144,416,2.4,ok,1334,,frame,245,985,2.5,ok,2798,,frame,285,2080,2.5,ok,7673,,frame,490,5968,2.5,cdn-3.pishow.tv,2,691,1011,4.0,https://cdn-3.pishow.tv/live/1229/master.m3u8
195,Sankara TV,Devotional,Hindi,ok,Plays everywhere tested,ok,1261,,frame,129,434,2.5,ok,1184,,frame,92,767,2.5,ok,2746,,frame,240,2023,2.5,ok,7480,,frame,563,5799,2.5,cdn-3.pishow.tv,2,691,1004,4.0,https://cdn-3.pishow.tv/live/1135/master.m3u8
196,Sansad TV 1,Legislative,Hindi,heavy-2g,Fails only on 2g,ok,2570,,frame,62,198,2.5,ok,1511,,frame,161,1419,0.9,ok,3315,,frame,220,3251,2.5,error,,timeout_frame,segment,489,,,playhls.media.nic.in,2,392,3257,10.0,https://playhls.media.nic.in/hls/live/lstv/lstv.m3u8
197,Sansad TV 1 HD,Legislative,Hindi,ok,Plays everywhere tested,ok,1232,,frame,124,380,2.5,ok,1122,,frame,197,1067,2.5,ok,2040,,frame,212,1988,2.5,ok,5864,,frame,486,5763,2.5,d2lk5u59tns74c.cloudfront.net,5,400,,6.0,https://d2lk5u59tns74c.cloudfront.net/out/v1/fff8f20221d5456e8922e689d71dedc3/index.m3u8
198,Sansad TV 2,Legislative,Hindi,ok,Plays everywhere tested,ok,805,,frame,65,164,2.5,ok,1007,,frame,179,932,2.5,ok,1934,,frame,224,1829,2.5,ok,5405,,frame,535,5364,2.4,d2lk5u59tns74c.cloudfront.net,5,401,341,6.0,https://d2lk5u59tns74c.cloudfront.net/out/v1/e4182054dce340da9e0ff38b6b3658a4/index.m3u8
199,Sanskar TV,Culture,Hindi,ok,Plays everywhere tested,ok,831,,frame,108,308,2.4,ok,1078,,frame,147,1016,2.4,ok,2495,,frame,242,2428,2.5,ok,6970,,frame,497,6905,2.5,d26idhjf0y1p2g.cloudfront.net,5,401,878,6.0,https://d26idhjf0y1p2g.cloudfront.net/out/v1/cd66dd25b9774cb29943bab54bbf3e2f/index.m3u8
201,Santvani Channel,Undefined,Hindi,ok,Plays everywhere tested,ok,1976,,frame,304,832,2.5,ok,1585,,frame,286,1183,2.4,ok,2696,,frame,312,2080,2.5,ok,7514,,frame,620,5838,2.4,cdn-2.pishow.tv,2,691,1002,4.0,https://cdn-2.pishow.tv/live/475/master.m3u8
202,Satsang TV,Devotional,Hindi,ok,Plays everywhere tested,ok,1098,,frame,259,608,2.4,ok,1000,,frame,135,962,2.5,ok,1906,,frame,223,1856,2.5,ok,5403,,frame,487,5316,2.5,d2vfwvjxwtwq1t.cloudfront.net,5,401,,6.0,https://d2vfwvjxwtwq1t.cloudfront.net/out/v1/6b24239d5517495b986e7705490c6e65/index.m3u8
203,Satsang Web TV,Devotional,Hindi,ok,Plays everywhere tested,ok,932,,frame,117,418,2.5,ok,1036,,frame,157,986,2.5,ok,2369,,frame,260,2315,2.4,ok,6564,,frame,498,6521,2.5,d1ji7e9jbzm5g8.cloudfront.net,2,436,1033,6.0,https://d1ji7e9jbzm5g8.cloudfront.net/out/v1/769f22f64d80442889306b9c4abea63c/index.m3u8
204,Shalom,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,1064,,frame,235,502,2.5,ok,1282,,frame,197,1211,2.5,ok,2672,,frame,230,2616,2.5,error,,timeout_frame,segment,495,,,d2c4zqo2rb5uf1.cloudfront.net,4,581,2010,6.0,https://d2c4zqo2rb5uf1.cloudfront.net/master.m3u8
205,Shekinah TV,Undefined,Hindi,heavy,Plays on fast links only (fails on 3g),ok,4337,,frame,723,3161,2.5,ok,6118,,frame,667,5749,1.9,error,,timeout_frame,segment,693,,,error,,timeout_frame,segment,732,,,livetv.timeiptv.in,1,2261,2304,7.9,https://livetv.timeiptv.in/ShekinahNewsIndia/955ad3298db330b5ee880c2c9e6f23a0.sdp/playlist.m3u8
206,Shemaroo TV,Entertainment,Hindi,ok,Plays everywhere tested,ok,959,,frame,157,458,2.5,ok,1205,,frame,92,829,2.5,ok,2906,,frame,275,2147,2.5,ok,7254,,frame,548,5525,2.5,cdn-3.pishow.tv,2,691,1036,4.0,https://cdn-3.pishow.tv/live/230/master.m3u8
207,Shubh TV,Undefined,Hindi,heavy-2g,Fails only on 2g,ok,749,,frame,111,208,2.5,ok,1459,,frame,179,1413,2.5,ok,3418,,frame,216,3337,2.5,error,,timeout_frame,segment,489,,,d2g1vdc6ozl2o8.cloudfront.net,4,876,1246,6.0,https://d2g1vdc6ozl2o8.cloudfront.net/out/v1/0a0dc7d7911b4fddbb4dfc963fdd4b9e/index.m3u8
208,South Station,Movies,Hindi,heavy-2g,Fails only on 2g,ok,1144,,frame,162,814,2.5,ok,2177,,frame,394,1888,2.5,ok,3579,,frame,370,1859,2.5,error,,timeout_frame,decoding,550,2331,,cc-yw7ztecy8do3q.akamaized.net,4,814,534,5.9,https://cc-yw7ztecy8do3q.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-yw7ztecy8do3q/SS_IN.m3u8
209,Starnet,DD,Hindi,dead,Failed every attempt on Wi-Fi (2) and 4g (2),error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,error,,manifestLoadError,connecting,,,,5a1178b42cc03.streamlock.net,,,,,https://5a1178b42cc03.streamlock.net/8220/8220/playlist.m3u8
210,Stingray Classic Rock,Music,English,heavy-2g,Fails only on 2g,ok,2796,,frame,571,1489,2.5,ok,2190,,frame,612,2092,2.5,ok,3857,,frame,633,3765,2.5,error,,timeout_frame,segment,741,,,lotus.stingray.com,2,691,465,6.0,https://lotus.stingray.com/manifest/ose-101ads-montreal/samsungtvplus/master.m3u8
211,Stingray DJAZZ,Music,English,ok,Plays everywhere tested,ok,3150,,frame,595,2920,2.5,ok,1978,,frame,627,1912,2.5,ok,2412,,frame,737,2330,2.5,ok,4589,,frame,717,4386,2.5,lotus.stingray.com,5,211,601,5.7,https://lotus.stingray.com/manifest/djazz-djaads-montreal/samsungtvplus/master.m3u8
212,Stingray Easy Listening,Music,English,heavy-2g,Fails only on 2g,ok,2184,,frame,594,2129,2.5,ok,1901,,frame,318,1842,2.5,ok,3627,,frame,301,3573,2.4,error,,timeout_frame,segment,724,,,lotus.stingray.com,2,691,445,6.0,https://lotus.stingray.com/manifest/ose-137ads-montreal/samsungtvplus/master.m3u8
213,Stingray Naturescape,Music,English,ok,Plays everywhere tested,ok,3272,,frame,726,2000,2.5,ok,2082,,frame,753,2035,2.5,ok,2433,,frame,621,2375,2.5,ok,4253,,frame,429,4203,2.5,lotus.stingray.com,5,211,591,6.0,https://lotus.stingray.com/manifest/naturescape-a003-montreal/samsungtvplus/master.m3u8
214,Stingray The Spa,Music,English,heavy-2g,Fails only on 2g,ok,2538,,frame,295,1435,2.5,ok,2172,,frame,322,2124,2.5,ok,3788,,frame,300,3638,2.5,error,,timeout_frame,segment,765,,,lotus.stingray.com,2,691,485,6.0,https://lotus.stingray.com/manifest/ose-122ads-montreal/samsungtvplus/master.m3u8
215,Stingray Today's KPOP,Music,English,heavy-2g,Fails only on 2g,ok,2653,,frame,285,1454,2.5,ok,2280,,frame,350,2228,2.5,ok,3758,,frame,325,3695,2.5,error,,timeout_frame,segment,694,,,lotus.stingray.com,2,691,476,6.0,https://lotus.stingray.com/manifest/ose-317ads-montreal/samsungtvplus/master.m3u8
216,Studio One +,Movies,Hindi,ok,Plays everywhere tested,ok,2556,,frame,304,1003,2.5,ok,1603,,frame,261,1205,2.4,ok,2732,,frame,341,2067,2.5,ok,7388,,frame,629,5790,2.4,cdn-1.pishow.tv,2,691,941,4.0,https://cdn-1.pishow.tv/live/276/master.m3u8
217,Subhavaartha TV,Devotional,Hindi,heavy-2g,Fails only on 2g,ok,2188,,frame,932,2062,2.5,ok,2914,,frame,992,2848,2.5,ok,4779,,frame,1139,4707,2.5,error,,timeout_frame,segment,937,,,2mk9qae4rwyb-hls-live.wmncdn.net,1,786,587,6.0,https://2mk9qae4rwyb-hls-live.wmncdn.net/shubhavartha/live.stream/playlist.m3u8
218,Swadesh News,News,Hindi,ok,Plays everywhere tested,ok,1349,,frame,89,589,2.5,ok,1286,,frame,103,948,2.5,ok,2943,,frame,335,2246,2.5,ok,7490,,frame,577,5785,2.3,cdn-2.pishow.tv,2,691,1008,4.0,https://cdn-2.pishow.tv/live/465/master.m3u8
219,Swatantra TV,News,Hindi,heavy,Plays on fast links only (fails on 3g),ok,702,,frame,248,621,2.5,ok,4694,,frame,243,4593,0.3,error,,timeout_frame,segment,352,,,error,,timeout_frame,segment,590,,,mumbai-edge.smartplaytv.in,1,2810,1992,6.0,https://mumbai-edge.smartplaytv.in/SwatantraTV/index.m3u8
220,Taaza TV,Undefined,Hindi,heavy,Plays on fast links only (fails on 3g),ok,1277,,frame,312,1167,2.5,ok,3779,,frame,252,3697,2.5,error,,timeout_frame,segment,309,,,error,,timeout_frame,segment,436,,,live.we2live.in,1,1460,1122,6.0,https://live.we2live.in/taazatv/live/playlist.m3u8
221,Tabbar Hits,Music,Punjabi,heavy-2g,Fails only on 2g,ok,1713,,frame,317,687,2.5,ok,1653,,frame,299,1584,2.5,ok,3613,,frame,335,3552,2.5,error,,timeout_frame,segment,521,,,vglivessai.akamaized.net,4,490,373,6.0,https://vglivessai.akamaized.net/sg/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/e11b0319-52e8-4190-ab03-3931cc68eac9/index.m3u8
222,Tehzeeb TV,Undefined,Urdu,ok,Plays everywhere tested,ok,1544,,frame,49,404,2.5,ok,1269,,frame,172,916,2.5,ok,2746,,frame,268,2028,2.5,ok,7442,,frame,523,5753,2.5,cdn-4.pishow.tv,2,691,940,4.0,https://cdn-4.pishow.tv/live/239/master.m3u8
